Spanish,Enhanced_Notes
Ojalá te sientas mejor mi amor,"Cultural Context: Romantic expressions in Colombian Spanish, often used in courtship and relationships.

Example 1: Ojalá te sientas mejor mi amor = I hope you feel better my love
Example 2: Te digo ojalá te sientas mejor mi amor = I tell you i hope you feel better my love

Formality: Informal / Intimate
Usage Notes: Used in romantic contexts in Colombian culture, often poetic or affectionate."
Si el amor fuera agua yo te daría el mar,"Cultural Context: Romantic expressions in Colombian Spanish, often used in courtship and relationships.

Example 1: Si el amor fuera agua yo te daría el mar = If love were water, I would give you the sea
Example 2: Te digo si el amor fuera agua yo te daría el mar = I tell you if love were water, i would give you the sea

Formality: Informal / Intimate
Usage Notes: Used in romantic contexts in Colombian culture, often poetic or affectionate."
Siempre serás mi amor,"Cultural Context: Romantic expressions in Colombian Spanish, often used in courtship and relationships.

Example 1: Siempre serás mi amor = You will always be my love
Example 2: Te digo siempre serás mi amor = I tell you you will always be my love

Formality: Informal / Intimate
Usage Notes: Used in romantic contexts in Colombian culture, often poetic or affectionate."
Solo abrazos hoy,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Solo abrazos hoy = Just hugs today
Example 2: Claro, solo abrazos hoy. = Sure, just hugs today.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Te amo,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Te amo = I love you
Example 2: Claro, te amo. = Sure, i love you.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Te extraño,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Te extraño = I miss you
Example 2: Claro, te extraño. = Sure, i miss you.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Te extraño mucho,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Te extraño mucho = I miss you a lot
Example 2: Claro, te extraño mucho. = Sure, i miss you a lot.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Te extraño un resto,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Te extraño un resto = I miss you a ton
Example 2: Claro, te extraño un resto. = Sure, i miss you a ton.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Un beso hablamos después,"Cultural Context: Romantic expressions in Colombian Spanish, often used in courtship and relationships.

Example 1: Un beso hablamos después = A kiss, we'll talk later
Example 2: Te digo un beso hablamos después = I tell you a kiss, we'll talk later

Formality: Informal / Intimate
Usage Notes: Used in romantic contexts in Colombian culture, often poetic or affectionate."
¡Qué chimba!,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: ¡Qué chimba! = How awesome! / What a blast!
Example 2: Claro, ¡qué chimba!. = Sure, how awesome! / what a blast!.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¡Qué gonorrea!,"Colombian slang - can be negative OR affectionate depending on tone

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: ¡Qué gonorrea! = What a pain in the ass! (vulgar)
Example 2: Claro, ¡qué gonorrea!. = Sure, what a pain in the ass! (vulgar).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Ese man es un HP,"HP = hijueputa (very common abbreviation)

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Ese man es un HP = That guy is a son of a bitch
Example 2: Claro, ese man es un hp. = Sure, that guy is a son of a bitch.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¡Qué malparido!,"Stronger than HP - use carefully

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: ¡Qué malparido! = What a bastard! (strong)
Example 2: Claro, ¡qué malparido!. = Sure, what a bastard! (strong).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¡Ay no joda!,"Common frustrated expression

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: ¡Ay no joda! = Oh don't fuck around! / Come on!
Example 2: Claro, ¡ay no joda!. = Sure, oh don't fuck around! / come on!.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Me cagó,"Vulgar but very common

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me cagó = They screwed me over
Example 2: Claro, me cagó. = Sure, they screwed me over.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¡Qué mierda!,"Vulgar expression of frustration

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: ¡Qué mierda! = What the fuck! / What shit!
Example 2: Claro, ¡qué mierda!. = Sure, what the fuck! / what shit!.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Estoy arrecho,"In Colombia: angry; In other countries: horny

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Estoy arrecho = I'm pissed off / annoyed
Example 2: Claro, estoy arrecho. = Sure, i'm pissed off / annoyed.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Eso es una berraquera,"Colombian expression of admiration

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Eso es una berraquera = That's badass / awesome
Example 2: Claro, eso es una berraquera. = Sure, that's badass / awesome.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Déjame quieto,"Colombian way to say stop bothering me

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Déjame quieto = Leave me alone
Example 2: Claro, déjame quieto. = Sure, leave me alone.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Qué más pues?,"Very Colombian greeting

Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Qué más pues? = What's up then?
Example 2: ¿Qué más pues? Es importante saberlo. = What's up then? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
Ese cuento está muy raro,"Colombian expression of doubt

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Ese cuento está muy raro = That story is very weird / suspicious
Example 2: Claro, ese cuento está muy raro. = Sure, that story is very weird / suspicious.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Me vale verga,"Very vulgar - use with caution

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me vale verga = I don't give a fuck
Example 2: Claro, me vale verga. = Sure, i don't give a fuck.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Quedamos,"Colombian confirmation

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Quedamos = Let's do it / We're set
Example 2: Claro, quedamos. = Sure, let's do it / we're set.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Bien o qué?,"Colombian casual check-in

Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Bien o qué? = Good or what? / You good?
Example 2: ¿Bien o qué? Es importante saberlo. = Good or what? / You good? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¡Uy parce!,"Common Colombian exclamation

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: ¡Uy parce! = Oh buddy! / Dude!
Example 2: Claro, ¡uy parce!. = Sure, oh buddy! / dude!.

Formality: Informal / Slang
Usage Notes: Used in everyday Colombian interactions and conversations."
Me toca madrugar,"Colombian expression

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me toca madrugar = I have to get up early
Example 2: Claro, me toca madrugar. = Sure, i have to get up early.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Dónde está el baño?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Dónde está el baño? = Where is the bathroom?
Example 2: ¿Dónde está el baño? Es importante saberlo. = Where is the bathroom? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿Qué hora es?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Qué hora es? = What time is it?
Example 2: ¿Qué hora es? Es importante saberlo. = What time is it? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿Cómo se dice esto en español?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Cómo se dice esto en español? = How do you say this in Spanish?
Example 2: ¿Cómo se dice esto en español? Es importante saberlo. = How do you say this in Spanish? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿Puedes repetir eso?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Puedes repetir eso? = Can you repeat that?
Example 2: ¿Puedes repetir eso? Es importante saberlo. = Can you repeat that? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿Hablas inglés?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Hablas inglés? = Do you speak English?
Example 2: ¿Hablas inglés? Es importante saberlo. = Do you speak English? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿Cuánto cuesta esto?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Cuánto cuesta esto? = How much does this cost?
Example 2: ¿Cuánto cuesta esto? Es importante saberlo. = How much does this cost? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿De dónde eres?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿De dónde eres? = Where are you from?
Example 2: ¿De dónde eres? Es importante saberlo. = Where are you from? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿Qué recomiendas?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Qué recomiendas? = What do you recommend?
Example 2: ¿Qué recomiendas? Es importante saberlo. = What do you recommend? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿A qué hora cierra?,"Cultural Context: Essential phrase for coordinating meetings and schedules in Colombian daily life.

Example 1: ¿A qué hora cierra? = What time does it close?
Example 2: ¿A qué hora cierra? A las tres te parece? = What time does it close? Does three work?
Example 3: Dime a qué hora cierra? = Tell me what time does it close?

Formality: Neutral
Usage Notes: Used constantly for scheduling in Colombian work and social contexts."
¿Cuál es tu nombre?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Cuál es tu nombre? = What is your name?
Example 2: ¿Cuál es tu nombre? Es importante saberlo. = What is your name? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿Por qué preguntas?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Por qué preguntas? = Why are you asking?
Example 2: ¿Por qué preguntas? Es importante saberlo. = Why are you asking? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿Cuándo nos vemos?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Cuándo nos vemos? = When do we see each other?
Example 2: ¿Cuándo nos vemos? Es importante saberlo. = When do we see each other? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿Qué haces mañana?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Qué haces mañana? = What are you doing tomorrow?
Example 2: ¿Qué haces mañana? Es importante saberlo. = What are you doing tomorrow? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
No entiendo,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: No entiendo = I don't understand
Example 2: Claro, no entiendo. = Sure, i don't understand.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Me puedes ayudar?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Me puedes ayudar? = Can you help me?
Example 2: ¿Me puedes ayudar? Es importante saberlo. = Can you help me? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
Estoy perdido,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Estoy perdido = I'm lost (male)
Example 2: Claro, estoy perdido. = Sure, i'm lost (male).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Estoy perdida,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Estoy perdida = I'm lost (female)
Example 2: Claro, estoy perdida. = Sure, i'm lost (female).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Qué significa eso?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Qué significa eso? = What does that mean?
Example 2: ¿Qué significa eso? Es importante saberlo. = What does that mean? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
No sé,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: No sé = I don't know
Example 2: Claro, no sé. = Sure, i don't know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Puedes explicar eso?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Puedes explicar eso? = Can you explain that?
Example 2: ¿Puedes explicar eso? Es importante saberlo. = Can you explain that? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
Esto no funciona,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Esto no funciona = This doesn't work
Example 2: Claro, esto no funciona. = Sure, this doesn't work.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Se me olvidó,"Literally: It forgot itself to me

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Se me olvidó = I forgot
Example 2: Claro, se me olvidó. = Sure, i forgot.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Puedes hablar más despacio?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Puedes hablar más despacio? = Can you speak more slowly?
Example 2: ¿Puedes hablar más despacio? Es importante saberlo. = Can you speak more slowly? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
No me queda claro,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: No me queda claro = It's not clear to me / I don't understand
Example 2: Claro, no me queda claro. = Sure, it's not clear to me / i don't understand.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Me repites?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Me repites? = Can you repeat to me?
Example 2: ¿Me repites? Es importante saberlo. = Can you repeat to me? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
Necesito ayuda,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Necesito ayuda = I need help
Example 2: Claro, necesito ayuda. = Sure, i need help.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Me parece bien,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me parece bien = It seems good to me / That's fine with me
Example 2: Todo me parece bien. = Everything it seems good to me / that's fine with me.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Me parece perfecto,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me parece perfecto = That seems perfect to me
Example 2: Claro, me parece perfecto. = Sure, that seems perfect to me.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
No me parece,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: No me parece = I don't think so / That doesn't seem right to me
Example 2: Claro, no me parece. = Sure, i don't think so / that doesn't seem right to me.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Estoy de acuerdo,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Estoy de acuerdo = I agree
Example 2: Claro, estoy de acuerdo. = Sure, i agree.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
No estoy de acuerdo,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: No estoy de acuerdo = I don't agree / I disagree
Example 2: Claro, no estoy de acuerdo. = Sure, i don't agree / i disagree.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Me gusta eso,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me gusta eso = I like that
Example 2: Claro, me gusta eso. = Sure, i like that.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
No me gusta,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: No me gusta = I don't like it
Example 2: Claro, no me gusta. = Sure, i don't like it.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Vos qué pensás?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Vos qué pensás? = What do you think? (vos form)
Example 2: ¿Vos qué pensás? Es importante saberlo. = What do you think? (vos form) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿Y vos qué decís?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Y vos qué decís? = And what do you say? (vos form)
Example 2: ¿Y vos qué decís? Es importante saberlo. = And what do you say? (vos form) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿Vos querés ir?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Vos querés ir? = Do you want to go? (vos form)
Example 2: ¿Vos querés ir? Es importante saberlo. = Do you want to go? (vos form) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿Vos sabés dónde es?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Vos sabés dónde es? = Do you know where it is? (vos form)
Example 2: ¿Vos sabés dónde es? Es importante saberlo. = Do you know where it is? (vos form) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿Vos entendés?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Vos entendés? = Do you understand? (vos form)
Example 2: ¿Vos entendés? Es importante saberlo. = Do you understand? (vos form) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿Vos tenés tiempo?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Vos tenés tiempo? = Do you have time? (vos form)
Example 2: ¿Vos tenés tiempo? Es importante saberlo. = Do you have time? (vos form) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿Vos conocés este lugar?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Vos conocés este lugar? = Do you know this place? (vos form)
Example 2: ¿Vos conocés este lugar? Es importante saberlo. = Do you know this place? (vos form) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿Vos comés carne?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Vos comés carne? = Do you eat meat? (vos form)
Example 2: ¿Vos comés carne? Es importante saberlo. = Do you eat meat? (vos form) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿Vos podés ayudarme?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Vos podés ayudarme? = Can you help me? (vos form)
Example 2: ¿Vos podés ayudarme? Es importante saberlo. = Can you help me? (vos form) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿Vos vas a ir?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Vos vas a ir? = Are you going to go? (vos form)
Example 2: ¿Vos vas a ir? Es importante saberlo. = Are you going to go? (vos form) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿Qué hacés?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Qué hacés? = What are you doing? (vos form)
Example 2: ¿Qué hacés? Es importante saberlo. = What are you doing? (vos form) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿Cómo te llamás?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Cómo te llamás? = What's your name? (vos form)
Example 2: ¿Cómo te llamás? Es importante saberlo. = What's your name? (vos form) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿De dónde sos?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿De dónde sos? = Where are you from? (vos form)
Example 2: ¿De dónde sos? Es importante saberlo. = Where are you from? (vos form) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿Vos vivís por acá?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Vos vivís por acá? = Do you live around here? (vos form)
Example 2: ¿Vos vivís por acá? Es importante saberlo. = Do you live around here? (vos form) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿Vos trabajás o estudiás?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Vos trabajás o estudiás? = Do you work or study? (vos form)
Example 2: ¿Vos trabajás o estudiás? Es importante saberlo. = Do you work or study? (vos form) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿Me colaborás con esto?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Me colaborás con esto? = Can you help me with this? (Colombian)
Example 2: ¿Me colaborás con esto? Es importante saberlo. = Can you help me with this? (Colombian) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿Me colaborás un segundo?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Me colaborás un segundo? = Can you help me for a second? (Colombian)
Example 2: ¿Me colaborás un segundo? Es importante saberlo. = Can you help me for a second? (Colombian) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
Me colaborás y me pasás la sal,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me colaborás y me pasás la sal = Help me out and pass me the salt (Colombian)
Example 2: Claro, me colaborás y me pasás la sal. = Sure, help me out and pass me the salt (colombian).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Me colaborás con la cuenta?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Me colaborás con la cuenta? = Can you help me with the bill? (Colombian)
Example 2: ¿Me colaborás con la cuenta? Es importante saberlo. = Can you help me with the bill? (Colombian) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿Me colaborás a cargar esto?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Me colaborás a cargar esto? = Can you help me carry this? (Colombian)
Example 2: ¿Me colaborás a cargar esto? Es importante saberlo. = Can you help me carry this? (Colombian) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿Me hacés un favor?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Me hacés un favor? = Can you do me a favor?
Example 2: ¿Me hacés un favor? Es importante saberlo. = Can you do me a favor? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
Ayudame un toque,"help briefly (slang)

Cultural Context: Colombian informal request for help. 'Un toque' (a touch) means 'a little bit' or 'briefly' in Colombian slang.

Example 1: Ayudame un toque con esto. = Help me briefly with this.
Example 2: ¿Me ayudas un toque? = Can you help me a little?
Example 3: Ayudame un toque a mover esto. = Help me quickly move this.

Formality: Informal / Slang
Usage Notes: 'Un toque' is characteristic Colombian slang meaning 'a little bit/briefly'. Used very frequently among friends and family. More casual than 'ayúdame un momento'."
¿Me echás una mano?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Me echás una mano? = Can you give me a hand?
Example 2: ¿Me echás una mano? Es importante saberlo. = Can you give me a hand? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
Necesito tu ayuda,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Necesito tu ayuda = I need your help
Example 2: Claro, necesito tu ayuda. = Sure, i need your help.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Me podés ayudar con esto?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Me podés ayudar con esto? = Can you help me with this?
Example 2: ¿Me podés ayudar con esto? Es importante saberlo. = Can you help me with this? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
Cuadremos para mañana,"Cultural Context: Time expressions are crucial for coordination in Colombian daily life.

Example 1: Cuadremos para mañana = Let's arrange/plan for tomorrow (Colombian)
Example 2: Cuadremos para mañana Te confirmo. = Let's arrange/plan for tomorrow (Colombian) I'll confirm.

Formality: Neutral
Usage Notes: Time coordination is essential in Colombian social and work contexts."
¿Cuadramos algo?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Cuadramos algo? = Shall we arrange something? (Colombian)
Example 2: ¿Cuadramos algo? Es importante saberlo. = Shall we arrange something? (Colombian) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿A qué horas cuadramos?,"Cultural Context: Essential phrase for coordinating meetings and schedules in Colombian daily life.

Example 1: ¿A qué horas cuadramos? = What time shall we arrange? (Colombian)
Example 2: ¿A qué horas cuadramos? A las tres te parece? = What time shall we arrange (Colombian)? Does three work?
Example 3: Dime a qué horas cuadramos? = Tell me what time shall we arrange? (colombian)

Formality: Neutral
Usage Notes: Used constantly for scheduling in Colombian work and social contexts."
Yo te cuadro,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Yo te cuadro = I'll arrange it with you (Colombian)
Example 2: Claro, yo te cuadro. = Sure, i'll arrange it with you (colombian).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Cuadramos después,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Cuadramos después = We'll arrange it later (Colombian)
Example 2: Claro, cuadramos después. = Sure, we'll arrange it later (colombian).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Cuadramos para el fin de semana?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Cuadramos para el fin de semana? = Shall we arrange for the weekend? (Colombian)
Example 2: ¿Cuadramos para el fin de semana? Es importante saberlo. = Shall we arrange for the weekend? (Colombian) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
Cuadra con los parceros,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Cuadra con los parceros = Arrange it with the buddies (Colombian)
Example 2: Claro, cuadra con los parceros. = Sure, arrange it with the buddies (colombian).

Formality: Informal / Slang
Usage Notes: Used in everyday Colombian interactions and conversations."
Ya cuadré todo,"Cultural Context: 'Ya' is extremely versatile in Colombian Spanish, indicating completion, immediacy, or change of state.

Example 1: Ya cuadré todo = I already arranged everything (Colombian)
Example 2: Ya cuadré todo Todo está listo. = I already arranged everything (Colombian) Everything is ready.

Formality: Informal to Neutral
Usage Notes: 'Ya' adds emphasis to completed or immediate actions in Colombian speech."
¿Querés una arepa?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Querés una arepa? = Do you want an arepa?
Example 2: ¿Querés una arepa? Es importante saberlo. = Do you want an arepa? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
Me traés un tinto porfa,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me traés un tinto porfa = Bring me a coffee please (Colombian)
Example 2: Claro, me traés un tinto porfa. = Sure, bring me a coffee please (colombian).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Vamos por unas onces,"afternoon snack time (CO)

Cultural Context: 'Onces' is a uniquely Colombian tradition - afternoon snack/tea time around 4-5pm. The term comes from British 'elevenses' but moved to afternoon in Colombia.

Example 1: A las 4, ¿vamos por unas onces? = At 4, shall we go for afternoon snack?
Example 2: Vamos por unas onces al café de la esquina. = Let's go for 'onces' at the corner café.
Example 3: Invito las onces hoy. = I'm buying the afternoon snack today.

Formality: Informal to Neutral
Usage Notes: 'Onces' typically includes coffee/hot chocolate with bread, cheese, or pastries. Integral part of Colombian social culture. NOT used in other Spanish-speaking countries."
¿Qué desayunás?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Qué desayunás? = What do you have for breakfast?
Example 2: ¿Qué desayunás? Es importante saberlo. = What do you have for breakfast? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
