Front (ES),Back (EN),Audio,Notes,Alternative,Reply,Type,Tags,Level
Solo míomía,Only mine,[sound:Solo_míomía_44945df8.mp3],"Possessive statement. Romantic exclusivity. Example: 'Eres solo mía, de nadie más' (You're only mine, nobody else's)",Possessive romantic | Only mine,,basic,general,3
Somos el uno para el otro,We're made for each other / We're meant for each other,[sound:Somos_el_uno_para_el_otro_4c4828ad.mp3],"Romantic statement about compatibility. Example: 'Somos el uno para el otro, lo siento en mi corazón' (We're made for each other, I feel it in my heart)",Romantic: meant for each other,,basic,general,3
Somos novios,We're boyfriend/girlfriend / We're dating,[sound:Somos_novios_369947fd.mp3],"Relationship status statement. 'Novios' = boyfriend/girlfriend couple. Example: '¿Qué somos?' - 'Somos novios, ¿no?' (What are we? - We're dating, right?)",Dating relationship status,,basic,general,3
Son las tres,It's three o'clock,[sound:Son_las_tres_410916aa.mp3],Time statement. Example: 'Son las tres de la tarde' (It's three in the afternoon),Time: 3 o'clock,,basic,general,3
Su merced,You / Your honor (formal Colombian),[sound:Su_merced_450cd71e.mp3],"Very formal Colombian address. Old-fashioned but still used in formal/respectful contexts. Example: '¿Cómo está su merced?' (How are you, sir/madam?)",Formal Colombian: you/your honor,,basic,general,3
Subimos,Let's go up / We go up / Should we go upstairs?,[sound:Subimos_0cc28ab0.mp3],"Suggestion or statement about going up. Can be stairs, elevator, or euphemism. Example: '¿Subimos a mi apartamento?' (Should we go up to my apartment?)",Go up | Can be euphemism,,basic,general,3
Sudemos juntos,Let's sweat together,[sound:Sudemos_juntos_56706c27.mp3],Exercise suggestion OR sexual euphemism. 'Sudar' = sweat. Example: '¿Sudemos juntos en el gimnasio?' (Let's sweat together at the gym?) or euphemism for sex.,Sweat together | Exercise or euphemism,,basic,general,3
Sácame la sed,Quench my thirst,[sound:Sácame_la_sed_b66eb4c6.mp3],"Literal: quench my thirst. Can be literal (give me drink) or metaphorical/flirtatious. Example: 'Sácame la sed, dame agua' (Quench my thirst, give me water) or flirty usage.",Quench thirst | Literal or flirty,,basic,general,3
Sí así,"Yes, like that",[sound:Sí_así_e98892e1.mp3],"Affirmation with specification. Example: 'Sí así está perfecto' (Yes, like that it's perfect) or sensual: 'Sí así me gusta' (Yes, like that I like it)",Yes like that | Various contexts,,basic,general,3
Sí pilla,"Yes, I get it / Yeah, I understand",[sound:Sí_pilla_3e4cc2bd.mp3],"Colombian slang. 'Pillar' = to get/understand. Example: '¿Entiendes?' - 'Sí pilla' (You understand? - Yeah, I get it)",Colombian: yes I understand,,basic,general,3
Súbete,Get in / Get on / Come up,[sound:Súbete_20503842.mp3],Imperative to get in/on vehicle or come up. Example: 'Súbete al carro' (Get in the car) or 'Súbete a mi cuarto' (Come up to my room),Get in/on | Come up,,basic,general,3
Te acompaño,I'll accompany you / I'll go with you,[sound:Te_acompaño_316325d1.mp3],Offer to accompany someone. Caring gesture in Colombian culture. Example: 'Te acompaño a tu casa para que no vayas sola' (I'll accompany you home so you don't go alone),Offer to accompany,,basic,general,3
Te acompaño,I'll accompany you / I'll go with you,[sound:Te_acompaño_d4f18bcb.mp3],Offer to accompany someone. Caring gesture in Colombian culture. Example: 'Te acompaño a tu casa para que no vayas sola' (I'll accompany you home so you don't go alone),Offer to accompany,,basic,general,3
Te animas a una peli,Do you want to watch a movie? / Are you up for a movie?,[sound:Te_animas_a_una_peli_02c067f1.mp3],'Peli' = short for 'película' (movie). Colombian casual. Example: '¿Te animas a una peli en mi casa?' (Are you up for a movie at my place?),Movie invitation | Casual,,basic,general,3
Te casarías conmigo,Would you marry me?,[sound:Te_casarías_conmigo_1001c4cb.mp3],Marriage proposal question. Example: '¿Te casarías conmigo? Quiero pasar mi vida contigo' (Would you marry me? I want to spend my life with you),Marriage proposal,,basic,general,3
Te compro una pastica para el mareo,I'll buy you a pill for the dizziness,[sound:Te_compro_una_pastica_para_el_mareo_631c3047.mp3],"Caring offer. 'Pastica' = diminutive pill. 'Mareo' = dizziness/nausea. Example: 'Te ves mal, te compro una pastica para el mareo?' (You look bad, should I buy you a pill for the dizziness?)",Caring: offer medicine for dizziness,,basic,general,3
Te cuido el puesto,I'll watch your spot / I'll save your seat,[sound:Te_cuido_el_puesto_d6791947.mp3],"Offer to guard someone's place/seat. Common courtesy. Example: 'Voy al baño, ¿me cuidas el puesto?' (I'm going to the bathroom, will you watch my spot?)",Save seat/spot offer,,basic,general,3
Te duele algo,Does something hurt? / Are you in pain?,[sound:Te_duele_algo_f7008044.mp3],Caring question about pain. Example: '¿Te duele algo? Te ves incómodo' (Does something hurt? You look uncomfortable),Asking about pain,,basic,general,3
Te entiendo no te preocupes,"I understand you, don't worry",[sound:Te_entiendo_no_te_preocupes_bfd28f9f.mp3],"Reassuring statement. Example: 'Te entiendo no te preocupes, todo va a estar bien' (I understand you, don't worry, everything will be okay)",Reassurance: I understand,,basic,general,3
Te gusta,Do you like it? / You like it,[sound:Te_gusta_303b30e4.mp3],Question or statement about liking. Example: '¿Te gusta la comida?' (Do you like the food?) or sensual: '¿Te gusta así?' (Do you like it like this?),Do you like | Various contexts,,basic,general,3
Te gusta así,Do you like it like this?,[sound:Te_gusta_así_8e88512f.mp3],Seeking approval about specific way. Example: '¿Te gusta así o lo cambio?' (Do you like it like this or should I change it?) or sensual context.,Like it this way? | Various contexts,,basic,general,3
Te gustaría ir a bailar el sábado,Would you like to go dancing on Saturday?,[sound:Te_gustaría_ir_a_bailar_el_sábado_3ecdc0c7.mp3],Date invitation. Colombian social culture loves dancing. Example: '¿Te gustaría ir a bailar el sábado? Conozco un lugar bacano' (Would you like to go dancing on Saturday? I know a cool place),Dance date invitation,,basic,general,3
Te gustó,Did you like it? / You liked it,[sound:Te_gustó_c4404135.mp3],Past tense question/statement about liking. Example: '¿Te gustó la película?' (Did you like the movie?) or sensual: '¿Te gustó?' (Did you like it?),Did you like | Various contexts,,basic,general,3
Te llevo algo de comer o tomar,Should I bring you something to eat or drink?,[sound:Te_llevo_algo_de_comer_o_tomar_f241bab6.mp3],"Caring offer. Example: 'Voy a la tienda, ¿te llevo algo de comer o tomar?' (I'm going to the store, should I bring you something to eat or drink?)",Caring food/drink offer,,basic,general,3
Te mando la ubicación,I'll send you the location,[sound:Te_mando_la_ubicación_f22dc0c9.mp3],Promise to send GPS location. Very common with WhatsApp. Example: 'Te mando la ubicación del restaurante ahorita' (I'll send you the restaurant location right now),Promise to send location,,basic,general,3
Te provoca,Does it tempt you? / Do you feel like it? / Are you in the mood?,[sound:Te_provoca_28541a52.mp3],Colombian expression asking if interested/tempted. Example: '¿Te provoca un helado?' (Do you feel like ice cream?) or '¿Te provoca salir?' (Are you in the mood to go out?),Colombian: are you in the mood?,,basic,general,3
Te quedas,Are you staying? / You're staying,[sound:Te_quedas_15b0a46f.mp3],Question or statement about staying. Example: '¿Te quedas a dormir?' (Are you staying to sleep?) or 'Te quedas conmigo' (You're staying with me),Are you staying | Question or statement,,basic,general,3
Te quedas a dormir,Are you staying to sleep? / Are you sleeping over?,[sound:Te_quedas_a_dormir_f0816ff8.mp3],"Invitation to spend the night. Example: 'Ya es tarde, ¿te quedas a dormir?' (It's late already, are you staying to sleep?)",Sleepover invitation,,basic,general,3
Te siento rico,You feel good / I feel you're delicious,[sound:Te_siento_rico_a34c2b69.mp3],'Rico' = delicious/good feeling. Sensual/intimate context. Example: 'Te siento rico cuando te abrazo' (You feel good when I hug you),Sensual: you feel good,,basic,general,3
Te traigo algo para los cólicos,I'll bring you something for the cramps,[sound:Te_traigo_algo_para_los_cólicos_6fdc8499.mp3],"Caring offer for menstrual cramps. 'Cólicos' = cramps. Example: 'Sé que te duele, te traigo algo para los cólicos' (I know it hurts, I'll bring you something for the cramps)",Caring: medicine for cramps,,basic,general,3
Te veo en la entrada,I'll see you at the entrance,[sound:Te_veo_en_la_entrada_f3379782.mp3],Meeting place specification. Example: 'Te veo en la entrada del centro comercial' (I'll see you at the mall entrance),Meeting at entrance,,basic,general,3
Tenemos toda la noche,We have all night,[sound:Tenemos_toda_la_noche_c1944c71.mp3],"Statement about having plenty of time. Can be relaxed or romantic. Example: 'No hay afán, tenemos toda la noche' (There's no rush, we have all night)",All night | Relaxed or romantic,,basic,general,3
Tengamos hijos,Let's have children,[sound:Tengamos_hijos_497e1edc.mp3],"Serious relationship/playful flirtation. Example (serious): 'Tengamos hijos juntos' (Let's have children together) or (playful flirt): 'Eres tan hermosa, tengamos hijos' (You're so beautiful, let's have children)",Have children | Serious or playful,,basic,general,3
Tengamos una cita,Let's have a date / Let's go on a date,[sound:Tengamos_una_cita_c909da55.mp3],"Date invitation. Example: 'Me gustas mucho, tengamos una cita' (I like you a lot, let's have a date)",Date invitation,,basic,general,3
Tercero,Third,[sound:Tercero_32679587.mp3],Ordinal number: third. Example: 'El tercer piso' (The third floor),Third | Ordinal,,basic,general,3
Tienen algo sin gluten,Do you have anything gluten-free?,[sound:Tienen_algo_sin_gluten_177f539b.mp3],"Dietary restriction question. Example: 'Soy celíaco, ¿tienen algo sin gluten?' (I'm celiac, do you have anything gluten-free?)",Gluten-free inquiry,,basic,general,3
Tienes WiFi,Do you have WiFi?,[sound:Tienes_WiFi_c8a0a899.mp3],Question about internet access. Example: '¿Tienes WiFi? Necesito trabajar' (Do you have WiFi? I need to work),WiFi availability question,,basic,general,3
Tienes cambio,Do you have change?,[sound:Tienes_cambio_61417fa6.mp3],Asking for smaller bills/coins. Example: '¿Tienes cambio de cincuenta mil?' (Do you have change for 50k?),Asking for change,,basic,general,3
Tienes ganas,Do you feel like it? / Are you in the mood?,[sound:Tienes_ganas_818154a1.mp3],Question about desire/willingness. Example: '¿Tienes ganas de salir?' (Do you feel like going out?) or sensual: '¿Tienes ganas?' (Are you in the mood?),Feel like it | Desire question,,basic,general,3
Tienes protección,Do you have protection?,[sound:Tienes_protección_f556d571.mp3],Sexual health question about condoms. Example: '¿Tienes protección o compro?' (Do you have protection or should I buy some?),Condom availability question,,basic,general,3
Tienes señal,Do you have signal?,[sound:Tienes_señal_2fba1ecb.mp3],Cell phone signal question. Example: '¿Tienes señal? A mí no me carga' (Do you have signal? Mine's not loading),Cell signal question,,basic,general,3
Tienes talla M,Do you have size M? / Do you have medium?,[sound:Tienes_talla_M_5588e985.mp3],Shopping size question. Example: '¿Tienes talla M de esta camisa?' (Do you have size M of this shirt?),Shopping: size inquiry,,basic,general,3
Tipo seis,Around six / About six o'clock,[sound:Tipo_seis_c52b4e43.mp3],'Tipo' = approximately/around (Colombian usage). Example: 'Nos vemos tipo seis' (Let's meet around six),Colombian: around/approximately 6,,basic,general,3
Todo lo que puedas comer,All you can eat,[sound:Todo_lo_que_puedas_comer_f07af6a5.mp3],Buffet description. Example: 'Es un restaurante de todo lo que puedas comer' (It's an all-you-can-eat restaurant),All you can eat buffet,,basic,general,3
Tomemos una fotico,Let's take a little photo,[sound:Tomemos_una_fotico_797b021e.mp3],Colombian diminutive. 'Fotico' = little photo. Example: 'Tomemos una fotico para el recuerdo' (Let's take a little photo for the memory),Colombian: take a photo,,basic,general,3
Treinta,Thirty / 30,[sound:Treinta_4f00f29d.mp3],"The number 30. Example: 'Treinta mil pesos' (30,000 pesos)",Number 30,,basic,general,3
Tres y media,Three thirty / Half past three,[sound:Tres_y_media_fd9e9036.mp3],Time: 3:30. Example: 'Son las tres y media de la tarde' (It's three thirty in the afternoon),Time: 3:30,,basic,general,3
Triple,Triple,[sound:Triple_64bbace8.mp3],Three times. Example: 'Dame triple porción' (Give me triple portion),Triple | Three times,,basic,general,3
Tu belleza es la octava maravilla del mu,Your beauty is the eighth wonder of the world,[sound:Tu_belleza_es_la_octava_maravilla_del_mu_2d4c21a3.mp3],"Romantic exaggeration. Seven wonders officially exist, so eighth = beyond all known wonders. Cheesy but endearing pickup line.",Romantic eighth wonder compliment,,basic,general,3
Tu mirada me pega más duro que el sol en,Your gaze hits me harder than the sun in Cartagena,[sound:Tu_mirada_me_pega_más_duro_que_el_sol_en_0de4f406.mp3],Colombian romantic metaphor. Cartagena sun is intensely hot. Your look affects me more powerfully than intense Caribbean sun. Poetic/playful.,Colombian intense gaze metaphor,,basic,general,3
Tu papá es ladrón Porque robó las estrel,Your dad is a thief because he stole the stars from the sky to put them in your eyes,[sound:Tu_papá_es_ladrón_Porque_robó_las_estrel_7e459a11.mp3],Classic ultra-cheesy pickup line. Implies eyes sparkle like stars stolen from sky. Very cliché but still used playfully in Colombian flirting.,Classic cheesy star eyes pickup,,basic,general,3
Tu sonrisa brilla más que El Dorado,Your smile shines brighter than El Dorado,[sound:Tu_sonrisa_brilla_más_que_El_Dorado_cfff4d2b.mp3],Colombian romantic reference. El Dorado = legendary city of gold. Your smile outshines mythical gold. Poetic/patriotic flirt.,Colombian: El Dorado smile metaphor,,basic,general,3
Tu sonrisa debería venir con advertencia,Your smile should come with a warning,[sound:Tu_sonrisa_debería_venir_con_advertencia_a792c510.mp3],Flirtatious compliment. Implies smile is dangerously attractive. Example: 'Tu sonrisa debería venir con advertencia porque es peligrosa para el corazón' (Your smile should come with a warning because it's dangerous for the heart),Flirty: dangerous smile,,basic,general,3
Tus ojos dicen demasiado,Your eyes say too much,[sound:Tus_ojos_dicen_demasiado_8e3d48e8.mp3],"Observation about expressive eyes. Can be romantic or concerned. Example: 'Tus ojos dicen demasiado, sé que estás triste' (Your eyes say too much, I know you're sad)",Expressive eyes observation,,basic,general,3
Tus ojos son como el café colombiano osc,"Your eyes are like Colombian coffee, dark and addictive",[sound:Tus_ojos_son_como_el_café_colombiano_osc_f13f6309.mp3],Colombian romantic coffee metaphor. Compares dark eyes to Colombia's famous dark addictive coffee. Patriotic poetic compliment.,Colombian coffee eyes comparison,,basic,general,3
Tus ojos tienen más magia que el Carnava,Your eyes have more magic than the Carnaval de Barranquilla,[sound:Tus_ojos_tienen_más_magia_que_el_Carnava_57a516bd.mp3],Colombian romantic reference. Carnaval de Barranquilla = Colombia's magical famous carnival. Eyes more magical than legendary festival. Patriotic flirt.,Colombian carnival eyes metaphor,,basic,general,3
Tócame,Touch me,[sound:Tócame_1197d420.mp3],Imperative request. Can be innocent (touch my shoulder) or sensual. Context matters. Example (sensual): 'Tócame suave' (Touch me gently),Touch me | Innocent or sensual,,basic,general,3
Un besito,A little kiss,[sound:Un_besito_5912892c.mp3],Diminutive request for small kiss. Example: 'Dame un besito antes de irte' (Give me a little kiss before you go),Little kiss request,,basic,general,3
Un millón,"One million / 1,000,000",[sound:Un_millón_11042104.mp3],"Number 1 million. With pesos, ~$250 USD (2025). Example: 'Un millón de pesos' (1 million pesos)",Number 1 million,,basic,general,3
Un montón,A lot / A ton / Loads,[sound:Un_montón_6ed9bc22.mp3],Informal quantity expression. Example: 'Tengo un montón de trabajo' (I have a ton of work),A lot | Informal quantity,,basic,general,3
Un poquito,A little bit,[sound:Un_poquito_356c786f.mp3],Diminutive of 'poco'. Very small amount. Example: 'Dame un poquito de agua' (Give me a little bit of water),A little bit | Diminutive,,basic,general,3
Un resto,A lot / A bunch (Colombian slang),[sound:Un_resto_109fc643.mp3],Colombian slang for large quantity. Example: 'Había un resto de gente' (There were a lot of people),Colombian: a lot/bunch,,basic,general,3
Vale,Okay / Alright / Cool,[sound:Vale_1b3a5be8.mp3],Casual agreement. Spanish slang. Example: '¿Vamos?' - 'Vale' (Shall we go? - Okay),Casual: okay/alright,,basic,general,3
Vamos a mi casa,Let's go to my place,[sound:Vamos_a_mi_casa_0f928f38.mp3],Invitation home. Can be innocent or romantic. Example: 'Vamos a mi casa a ver Netflix' (Let's go to my place to watch Netflix),¿Te animas a,,basic,general,3
Vamos a un lugar especial,Let's go to a special place,[sound:Vamos_a_un_lugar_especial_029cc76b.mp3],Mysterious/romantic invitation. Example: 'Vamos a un lugar especial que te va a encantar' (Let's go to a special place you'll love),¿Te animas a,,basic,general,3
Vamos caminando,Let's walk / Let's go walking,[sound:Vamos_caminando_999e2082.mp3],"Suggestion to travel by foot. Example: 'Vamos caminando, está cerca' (Let's walk, it's close)",¿Te animas a,,basic,general,3
Vamos conociendonos más,Let's get to know each other more,[sound:Vamos_conociendonos_más_e97a2562.mp3],Dating/relationship progression suggestion. Example: 'Vamos conociéndonos más antes de definir la relación' (Let's get to know each other more before defining the relationship),¿Te animas a,,basic,general,3
Vamos despacio,Let's go slow / Let's take it slow,[sound:Vamos_despacio_ef96e00f.mp3],"Suggestion for slow pace. Relationship or literal. Example: 'Vamos despacio con esto, sin apuro' (Let's take it slow with this, no rush)",¿Te animas a,,basic,general,3
Vamos despacito,Let's go slowly / Nice and slow,[sound:Vamos_despacito_7837444e.mp3],"Diminutive of 'despacio'. Very slow/gentle. Example: 'Vamos despacito que no hay afán' (Let's go slowly, there's no rush) or sensual context.",¿Te animas a,,basic,general,3
Vamos en Uber o caminamos,Should we take an Uber or walk?,[sound:Vamos_en_Uber_o_caminamos_e163d0a3.mp3],"Transportation decision. Example: 'Está cerca, ¿vamos en Uber o caminamos?' (It's close, should we Uber or walk?)",¿Te animas a,,basic,general,3
Vamos por un cafecito,Let's go for a little coffee,[sound:Vamos_por_un_cafecito_8c0da724.mp3],Colombian coffee invitation. 'Cafecito' = diminutive. Social ritual. Example: 'Vamos por un cafecito para conversar' (Let's go for a little coffee to talk),¿Te animas a,,basic,general,3
Vamos saliendo,We're leaving now / We're on our way out,[sound:Vamos_saliendo_0c14d07a.mp3],"Present continuous departure. Example: 'Ya vamos saliendo, llegamos en 10 minutos' (We're leaving now, we'll arrive in 10 minutes)",¿Te animas a,,basic,general,3
Vamos temprano para evitar el sol fuerte,Let's go early to avoid the strong sun,[sound:Vamos_temprano_para_evitar_el_sol_fuerte_d8533738.mp3],Beach/outdoor planning. Colombian sun is intense. Example: 'Vamos temprano para evitar el sol fuerte de mediodía' (Let's go early to avoid the strong midday sun),¿Te animas a,,basic,general,3
Vamos viendo,Let's see / We'll see how it goes,[sound:Vamos_viendo_8e5ff967.mp3],Non-committal response. Example: '¿Salimos mañana?' - 'Vamos viendo' (Should we go out tomorrow? - We'll see),¿Te animas a,,basic,general,3
Veinte mil,"Twenty thousand / 20,000",[sound:Veinte_mil_8f4a84cc.mp3],"Number 20,000. With pesos, ~$5 USD (2025). Example: 'Veinte mil pesos por el almuerzo' (20k pesos for lunch)","20,000 | Common small amount",,basic,general,3
Veintiuno,Twenty-one / 21,[sound:Veintiuno_d79bc240.mp3],Number 21. Example: 'Veintiuno de mayo' (Twenty-first of May),Number 21,,basic,general,3
Vemos Netflix,Shall we watch Netflix? / Let's watch Netflix,[sound:Vemos_Netflix_295bb527.mp3],Common date/hangout suggestion. Can be euphemism. Example: '¿Vemos Netflix en mi casa?' (Shall we watch Netflix at my place?),Netflix invitation | Can be euphemism,,basic,general,3
Ven acá,Come here,[sound:Ven_acá_d837e04d.mp3],"Imperative to approach. Example: 'Ven acá que te quiero mostrar algo' (Come here, I want to show you something)",Aquí,,basic,general,3
Ven acá que no hemos terminado,"Come here, we're not done yet",[sound:Ven_acá_que_no_hemos_terminado_05196fdb.mp3],"Statement about unfinished business. Can be conversation or intimate. Example: 'Ven acá que no hemos terminado de hablar' (Come here, we're not done talking)",Aquí,,basic,general,3
Vente conmigo,Come with me,[sound:Vente_conmigo_55a43578.mp3],Imperative invitation. 'Vente' = reflexive come. Example: 'Vente conmigo a la fiesta' (Come with me to the party),Come with me invitation,,basic,general,3
Verdad que sí,"Right? / Isn't it? / True, right?",[sound:Verdad_que_sí_d93ed16b.mp3],"Tag question seeking agreement. Example: 'Está rico, verdad que sí?' (It's good, right?)",Seeking agreement tag,,basic,general,3
Viejovieja,Old man/woman / Dude/Girl (Colombian slang),[sound:Viejovieja_142c6174.mp3],"Literal: old. Colombian slang: dude/friend. Example: 'Qué más, viejo' (What's up, dude) NOT about age in slang context.",Old | Colombian slang: dude/friend,,basic,general,3
Y entonces,And then? / And so?,[sound:Y_entonces_02fa87f1.mp3],Continuation question or filler. Example: '¿Y entonces qué pasó?' (And then what happened?),And then | Continuation,,basic,general,3
Yo invito,I'll pay / It's on me / My treat,[sound:Yo_invito_e73afb72.mp3],"Offer to pay. Example: 'Yo invito esta vez, tú pagaste la última' (I'll pay this time, you paid last time)",I'll pay | My treat,,basic,general,3
Yo pongo la música tú eliges el lugar,"I'll provide the music, you choose the place",[sound:Yo_pongo_la_música_tú_eliges_el_lugar_403822cd.mp3],"Collaborative planning. Division of responsibilities for date/gathering. Example: 'Yo pongo la música tú eliges el lugar para la fiesta' (I'll provide the music, you choose the place for the party)",Collaborative date planning,,basic,general,3
Ñeroñera,Sketchy person / Thug / Rough person,[sound:Ñeroñera_3b16c9d0.mp3],"Colombian slang for sketchy/rough person. Can be negative or affectionate among friends. Example: 'Ese man es muy ñero' (That guy is very sketchy) or among friends: 'Qué más, ñero' (What's up, thug/buddy)",Colombian: sketchy/rough person,,basic,general,3
Último,Last / Final,[sound:Último_691f73c6.mp3],Adjective: last/final. Example: 'El último bus' (The last bus) or 'Por última vez' (For the last time),Last | Final,,basic,general,3
